Secondary School Code,School Name,Address Line #1,Address Line #2,Domestic Address #3,City,State,ZIP,Foreign Address #3,Country Name,Website
101191,BARBARA GOLEMAN HIGH SCHOOL,14100 NW 89TH AVENUE,,,MIAMI LAKES,FL,33018,1384,,
101193,WADE CHRISTIAN ACADEMY,4300 N WICKHAM RD,,,MELBOURNE,FL,32935,2478,,
101195,PATHWAYS PRIVATE SCHOOL,1877 W OAK RIDGE RD,,,ORLANDO,FL,32809,3911,,
101196,LINCOLN-MARTI COMNTY AGENCY 01,2700 SW 8TH ST,,,MIAMI,FL,33135,4619,,
101197,SOLID ROCK CHRISTIAN SCHOOL,6760 EAST GATE ROAD,,,MILTON,FL,32570,,,
101198,MOUNT DORA CHRISTIAN ACADEMY,301 W 13TH AVE,,,MOUNT DORA,FL,32757,4271,,
101199,CORAL REEF SENIOR HIGH SCHOOL,10101 SW 152TH ST,,,MIAMI,FL,33157,1603,,
101200,MOUNT DORA HIGH SCHOOL,700 N HIGHLAND ST,,,MOUNT DORA,FL,32757,5024,,
101203,ROBERT F MUNROE DAY SCHOOL,28424 BLUE STAR HWY,,,HAVANA,FL,32333,4653,,
101205,MULBERRY SENIOR HIGH SCHOOL,1 PANTHER PL,,,MULBERRY,FL,33860,2834,,
101206,COMMUNITY SCHOOL OF NAPLES,13275 LIVINGSTON RD,,,NAPLES,FL,34109,3859,,
101207,BARRON COLLIER HIGH SCHOOL,5600 COUGAR DRIVE,,,NAPLES,FL,34109,2097,,
101208,KIDSVILLE ACADEMY 2,2563 REMINGTON BLVD,,,KISSIMMEE,FL,34744,8400,,
101210,NAPLES HIGH SCHOOL,1100 GOLDEN EAGLE CIR,,,NAPLES,FL,34102,4899,,
101211,SEAGATE CHRISTIAN SCHOOL,1010 WHIPPORWILL LANE,,,NAPLES,FL,34105,,,
101212,LELY HIGH SCHOOL,1 LELY HIGH SCHOOL BLVD,,,NAPLES,FL,34113,7823,,
101214,SAINT JOHN NEUMANN HIGH SCHOOL,3000 53RD ST SW,,,NAPLES,FL,34116,8018,,
101215,NEWBERRY HIGH SCHOOL,400 SW 258TH ST,,,NEWBERRY,FL,32669,4112,,
101218,GENESIS PREPARATORY SCHOOL,2430 WELBILT BLVD,,,TRINITY,FL,34655,4401,,
101219,RIVER RIDGE HIGH SCHOOL,11646 TOWN CENTER RD,,,NEW PORT RICHEY,FL,34654,6201,,
101220,GULF HIGH SCHOOL,5355 SCHOOL RD,,,NEW PORT RICHEY,FL,34652,4322,,
101222,HUDSON HIGH SCHOOL,14410 COBRA WAY,,,HUDSON,FL,34669,1011,,
101224,WENDELL KRINN TECH HIGH SCHOOL,7650 ORCHID LAKE RD,,,NEW PORT RICHEY,FL,34653,1315,,
101227,FELLOWSHIP BAPTIST ACADEMY,5940 MASSACHUSETTS AVENUE,,,NEW PORT RICHEY,FL,34652,,,
101230,NEW SMYRNA BEACH HIGH SCHOOL,1015 10TH ST,,,NEW SMYRNA BEACH,FL,32168,7566,,
